Pair,Stock1,Stock2,Alpha,Beta,Entry Threshold,Exit Threshold,Window Length,Sharpe,Sortino,CAGR,Total Return,Max Drawdown,Win Rate,Average Trade Return,Trade Count
MSCI-SHW,MSCI,SHW,-153.77142821194116,2.4262495468575485,2.5,0.5,60,1.8045203775010228,1.5497772764427034,0.6982609404049973,5.450287220280105,-0.27202423411318377,0.8666666666666667,0.1362820579662672,15
HD-MSCI,HD,MSCI,96.41347231071168,0.3880221591096619,2.5,0.5,60,1.6592575357086565,1.2526624791053391,0.2369053488428119,1.1135362905124344,-0.10055388404423275,0.9285714285714286,0.055702088935117314,14
AMD-WST,AMD,WST,-9.604976417655783,0.3153369063722769,2.5,0.5,60,1.3455285204484342,1.2789065632105376,0.276821076231472,1.3635288341243434,-0.14036485944291974,0.9090909090909091,0.08421100340901537,11
HSY-SO,HSY,SO,-43.65802773633343,3.759240942160273,2.5,0.5,60,1.32168517029999,0.8821173928595014,0.4618773148498936,2.805925529262684,-0.30895930731919397,1.0,0.1690499148811383,9
MSCI-NDSN,MSCI,NDSN,-243.07432948947846,3.357218748375642,2.5,0.5,60,1.3042169017113665,0.7414516268777412,0.6843150173896231,5.265765673766041,-0.4567492886063953,0.9285714285714286,0.1670335876781994,14
DTE-DUK,DTE,DUK,1.05970392043825,1.1804917555903007,2.5,0.5,60,1.298308821082938,1.0036206104304346,0.08252884961172491,0.3219696974670656,-0.08365108515824475,0.9,0.028601921250938307,10
ADI-TXN,ADI,TXN,4.430084588278675,0.9236887794158766,2.5,0.5,60,1.2900697107883987,1.1407016272183592,0.13696073457712354,0.5711411131151474,-0.06589840970250675,0.8181818181818182,0.042761085151669216,11
MDLZ-PG,MDLZ,PG,12.806584441286985,0.32315434873492155,2.5,0.5,60,1.2158500758658448,0.7193040550831118,0.06754379075450823,0.25867369025693643,-0.06197283075522455,1.0,0.0336266443032962,7
ADP-AZO,ADP,AZO,59.782002873642874,0.07130878618277105,2.5,0.5,60,1.1994016278687116,1.2201379050663723,0.14361593310335263,0.603751383620367,-0.09183949915722138,0.8571428571428571,0.0354755838571151,14
AZO-HSY,AZO,HSY,-359.0703124790326,12.553832214249226,2.5,0.5,60,1.19770005954461,1.234236457186405,1.0548277064302982,11.615945570839768,-0.8551566826497314,0.8571428571428571,0.4508230887756287,14
