Pair,Stock1,Stock2,Alpha,Beta,Entry Threshold,Exit Threshold,Window Length,Sharpe,Sortino,CAGR,Total Return,Max Drawdown,Win Rate,Average Trade Return,Trade Count
GWW-TRMB,GWW,TRMB,1807.9614396283616,-9.74374586029407,2.5,0.5,26,9.999270829987944,11.816316854258316,94807.88231989635,1.2278876845321416,-0.10449432774544755,0.9166666666666666,0.07151213059342923,12
GWW-JKHY,GWW,JKHY,2162.694589931624,-6.590608856692666,2.5,0.5,26,9.546081471533942,10.37532744836546,2572.04686648747,0.7314031603486981,-0.07160216714935014,0.9166666666666666,0.04838893505085087,12
CVS-GWW,CVS,GWW,-34.46441209012355,0.10125548741075473,2.5,0.5,26,8.914929664792398,10.87759830274502,2.076254951395712,0.08171759206415663,-0.009332228625353921,0.8333333333333334,0.007093185173303225,12
FIS-GWW,FIS,GWW,93.18875846703591,-0.040483922714802806,2.5,0.5,26,8.870571538409799,10.927148404122295,2.0137875442289874,0.08016744643714269,-0.009821574750146512,0.8333333333333334,0.00697242039593855,12
AMD-FTNT,AMD,FTNT,106.55355268560636,2.796362465467962,2.5,0.5,26,8.544896324357083,8.03793925742032,10745.14815621559,0.9133478138527624,-0.18657959111776776,0.8666666666666667,0.04686179204622933,15
AZO-PEP,AZO,PEP,-2419.206614917845,38.374605425396005,2.5,0.5,26,5.374887096554012,4.381782119912462,79621.99995641672,1.200867836251632,-0.8736850345488566,0.7692307692307693,0.20384508076537464,13
EQT-NFLX,EQT,NFLX,10.391069631875471,0.5278803353322259,2.5,0.5,26,5.3707363334878275,6.125678116363009,2.556040172607673,0.09273246876587282,-0.04221810642357743,0.9230769230769231,0.007439547753323072,13
PFG-STT,PFG,STT,23.41024067491223,0.5108385231557923,2.5,0.5,26,5.132891837694489,5.863212634486796,1.051725095181586,0.051520766754640235,-0.037857907941975806,0.8181818181818182,0.005131159771925897,11
TDG-UAL,TDG,UAL,759.3908446415984,4.476191541675414,2.5,0.5,26,5.069146695403474,3.841786833809899,7.771700640428932,0.16392164749694071,-0.10560006997692938,0.875,0.020353309023886074,8
HRL-TSN,HRL,TSN,44.643033179861526,-0.359621316070975,2.5,0.5,26,5.035696674847298,3.8135593077014684,1.093682234812158,0.05300978577216009,-0.026512531697567066,0.7692307692307693,0.004533213442462749,13
